question_id,avg_score,std_score,response_count,avg_time
Q12,66.85,14.24,100,159.01
Q15,67.15,14.38,100,162.72
Q8,69.33,14.19,100,162.27
Q20,69.54,13.43,100,157.75
Q17,69.99,15.15,100,159.27
Q9,70.1,14.13,100,163.71
Q10,70.22,13.8,100,162.64
Q3,70.33,15.35,100,171.6
Q11,70.4,14.38,100,165.07
Q1,70.46,12.07,100,155.53
Q19,70.66,15.38,100,150.89
Q14,70.68,14.41,100,157.54
Q2,71.05,14.53,100,163.43
Q18,71.22,16.97,100,170.51
Q7,71.4,15.37,100,157.1
Q13,71.54,15.49,100,182.34
Q6,71.62,14.43,100,160.05
Q16,72.09,14.16,100,157.81
Q4,72.56,13.58,100,169.76
Q5,72.62,14.55,100,151.65
